# Generated with seed: 465365
game_week,home_team,away_team,division
7,EHG1,STO1,Div 1
7,GTO1,SOS1,Div 1
7,ILC1,RAY1,Div 1
7,OCH1,SWB1,Div 1
7,BFL1,WIL2,Div 10
7,HOH3,GTO3,Div 10
7,ILC4,SOS4,Div 10
7,RAY4,RAF2,Div 10
7,UPM2,RAN2,Div 10
7,BRE2,HUT2,Div 11
7,BRX2,OCH5,Div 11
7,GAL4,EAS3,Div 11
7,RAY5,OAK1,Div 11
7,SLO3,GWA3,Div 11
7,AGH1,SWE1,Div 2
7,BRF1,GBA1,Div 2
7,BRO1,EPF1,Div 2
7,GAL1,PUR1,Div 2
7,THB1,WRI1,Div 2
7,EAS1,GWA2,Div 3
7,GWK1,NAV1,Div 3
7,HIE1,BOR1,Div 3
7,RAN1,BAP2,Div 3
7,WMO1,SPM2,Div 3
7,CSK1,BRX1,Div 4
7,CTI1,HRO2,Div 4
7,RAY2,OCH2,Div 4
7,STO2,GTO2,Div 4
7,WIL1,CWR1,Div 4
7,LBA2,HOH1,Div 5
7,RAF1,SJB1,Div 5
7,RET2,GAL2,Div 5
7,STA1,BEA2,Div 5
7,SWB2,AGH2,Div 5
7,DAN1,SPM3,Div 6
7,EPF2,THB2,Div 6
7,SOS2,ILC2,Div 6
7,SWE2,RAY3,Div 6
7,TIL2,BAP3,Div 6
7,BAP4,ILC3,Div 7
7,BEN1,IGF2,Div 7
7,BOR2,EHG2,Div 7
7,GBA2,BRO2,Div 7
7,TER2,EAS2,Div 7
7,CHI1,SWB3,Div 8
7,HOH2,OCH3,Div 8
7,SJB2,WMO2,Div 8
7,SLO2,BRF2,Div 8
7,WRI2,AGH3,Div 8
7,HAP2,BRE1,Div 9
7,HUT1,BAP5,Div 9
7,NAV2,UPM1,Div 9
7,OCH4,GAL3,Div 9
7,SOS3,CSK2,Div 9
7,BAP1,SLO1,Premier
7,GWA1,LBA1,Premier
7,HRO1,TER1,Premier
7,IGF1,RET1,Premier
7,SPM1,TIL1,Premier
8,HAP1,EHG1,Div 1
8,ILC1,GTO1,Div 1
8,SOS1,OCH1,Div 1
8,STO1,BEA1,Div 1
8,SWB1,RAY1,Div 1
8,GTO3,BFL1,Div 10
8,RAN2,ILC4,Div 10
8,SOS4,HOH3,Div 10
8,UPM2,RAF2,Div 10
8,WIL2,RAY4,Div 10
8,EAS3,BRX2,Div 11
8,GWA3,GAL4,Div 11
8,OAK1,BRE2,Div 11
8,OCH5,SLO3,Div 11
8,RAY5,HUT2,Div 11
8,BRO1,THB1,Div 2
8,GBA1,GAL1,Div 2
8,PUR1,EPF1,Div 2
8,SWE1,BRF1,Div 2
8,WRI1,AGH1,Div 2
8,BAP2,HIE1,Div 3
8,GWA2,RAN1,Div 3
8,GWK1,WMO1,Div 3
8,NAV1,BOR1,Div 3
8,SPM2,EAS1,Div 3
8,BRX1,WIL1,Div 4
8,CWR1,CSK1,Div 4
8,GTO2,CTI1,Div 4
8,OCH2,HRO2,Div 4
8,RAY2,STO2,Div 4
8,AGH2,STA1,Div 5
8,BEA2,HOH1,Div 5
8,GAL2,SWB2,Div 5
8,RAF1,LBA2,Div 5
8,SJB1,RET2,Div 5
8,BAP3,ILC2,Div 6
8,EPF2,TIL2,Div 6
8,RAY3,DAN1,Div 6
8,SPM3,SWE2,Div 6
8,THB2,SOS2,Div 6
8,BOR2,BRO2,Div 7
8,EAS2,BEN1,Div 7
8,EHG2,BAP4,Div 7
8,IGF2,GBA2,Div 7
8,ILC3,TER2,Div 7
8,BRF2,AGH3,Div 8
8,HOH2,WRI2,Div 8
8,OCH3,CHI1,Div 8
8,SLO2,SJB2,Div 8
8,WMO2,SWB3,Div 8
8,BAP5,UPM1,Div 9
8,BRE1,SOS3,Div 9
8,CSK2,OCH4,Div 9
8,GAL3,HAP2,Div 9
8,HUT1,NAV2,Div 9
8,HRO1,IGF1,Premier
8,LBA1,SPM1,Premier
8,RET1,GWA1,Premier
8,TER1,BAP1,Premier
8,TIL1,SLO1,Premier
9,BEA1,ILC1,Div 1
9,HAP1,SWB1,Div 1
9,OCH1,EHG1,Div 1
9,RAY1,GTO1,Div 1
9,SOS1,STO1,Div 1
9,BFL1,UPM2,Div 10
9,ILC4,WIL2,Div 10
9,RAF2,HOH3,Div 10
9,RAN2,GTO3,Div 10
9,RAY4,SOS4,Div 10
9,BRE2,RAY5,Div 11
9,BRX2,GAL4,Div 11
9,EAS3,OCH5,Div 11
9,HUT2,GWA3,Div 11
9,SLO3,OAK1,Div 11
9,BRF1,PUR1,Div 2
9,EPF1,AGH1,Div 2
9,GAL1,BRO1,Div 2
9,GBA1,THB1,Div 2
9,WRI1,SWE1,Div 2
9,BOR1,BAP2,Div 3
9,EAS1,GWK1,Div 3
9,GWA2,WMO1,Div 3
9,HIE1,SPM2,Div 3
9,NAV1,RAN1,Div 3
9,CTI1,CSK1,Div 4
9,GTO2,BRX1,Div 4
9,HRO2,CWR1,Div 4
9,STO2,OCH2,Div 4
9,WIL1,RAY2,Div 4
9,AGH2,SJB1,Div 5
9,HOH1,GAL2,Div 5
9,RET2,BEA2,Div 5
9,STA1,LBA2,Div 5
9,SWB2,RAF1,Div 5
9,DAN1,SOS2,Div 6
9,ILC2,EPF2,Div 6
9,SWE2,BAP3,Div 6
9,THB2,RAY3,Div 6
9,TIL2,SPM3,Div 6
9,BAP4,GBA2,Div 7
9,BEN1,ILC3,Div 7
9,BRO2,EAS2,Div 7
9,EHG2,TER2,Div 7
9,IGF2,BOR2,Div 7
9,AGH3,HOH2,Div 8
9,CHI1,WRI2,Div 8
9,SJB2,BRF2,Div 8
9,SWB3,SLO2,Div 8
9,WMO2,OCH3,Div 8
9,CSK2,BAP5,Div 9
9,GAL3,BRE1,Div 9
9,OCH4,NAV2,Div 9
9,SOS3,HUT1,Div 9
9,UPM1,HAP2,Div 9
9,BAP1,TIL1,Premier
9,LBA1,HRO1,Premier
9,SLO1,IGF1,Premier
9,SPM1,RET1,Premier
9,TER1,GWA1,Premier
10,BEA1,OCH1,Div 1
10,EHG1,SWB1,Div 1
10,GTO1,HAP1,Div 1
10,ILC1,SOS1,Div 1
10,RAY1,STO1,Div 1
10,GTO3,RAY4,Div 10
10,HOH3,UPM2,Div 10
10,ILC4,BFL1,Div 10
10,SOS4,RAN2,Div 10
10,WIL2,RAF2,Div 10
10,GAL4,BRE2,Div 11
10,GWA3,OCH5,Div 11
10,HUT2,OAK1,Div 11
10,RAY5,EAS3,Div 11
10,SLO3,BRX2,Div 11
10,AGH1,BRF1,Div 2
10,EPF1,WRI1,Div 2
10,PUR1,GBA1,Div 2
10,SWE1,BRO1,Div 2
10,THB1,GAL1,Div 2
10,BAP2,GWA2,Div 3
10,GWK1,HIE1,Div 3
10,RAN1,EAS1,Div 3
10,SPM2,NAV1,Div 3
10,WMO1,BOR1,Div 3
10,BRX1,RAY2,Div 4
10,CSK1,HRO2,Div 4
10,CWR1,GTO2,Div 4
10,OCH2,CTI1,Div 4
10,STO2,WIL1,Div 4
10,GAL2,BEA2,Div 5
10,HOH1,RET2,Div 5
10,LBA2,SJB1,Div 5
10,RAF1,AGH2,Div 5
10,SWB2,STA1,Div 5
10,BAP3,THB2,Div 6
10,DAN1,TIL2,Div 6
10,RAY3,ILC2,Div 6
10,SOS2,SWE2,Div 6
10,SPM3,EPF2,Div 6
10,BOR2,ILC3,Div 7
10,BRO2,IGF2,Div 7
10,EAS2,BAP4,Div 7
10,GBA2,EHG2,Div 7
10,TER2,BEN1,Div 7
10,AGH3,CHI1,Div 8
10,BRF2,OCH3,Div 8
10,SJB2,HOH2,Div 8
10,SLO2,WMO2,Div 8
10,WRI2,SWB3,Div 8
10,BRE1,HUT1,Div 9
10,HAP2,CSK2,Div 9
10,NAV2,SOS3,Div 9
10,OCH4,BAP5,Div 9
10,UPM1,GAL3,Div 9
10,GWA1,BAP1,Premier
10,HRO1,SLO1,Premier
10,IGF1,SPM1,Premier
10,RET1,TER1,Premier
10,TIL1,LBA1,Premier
11,EHG1,RAY1,Div 1
11,HAP1,SOS1,Div 1
11,OCH1,GTO1,Div 1
11,STO1,ILC1,Div 1
11,SWB1,BEA1,Div 1
11,BFL1,RAY4,Div 10
11,RAF2,GTO3,Div 10
11,RAN2,HOH3,Div 10
11,UPM2,ILC4,Div 10
11,WIL2,SOS4,Div 10
11,BRE2,GWA3,Div 11
11,BRX2,RAY5,Div 11
11,GAL4,SLO3,Div 11
11,OAK1,EAS3,Div 11
11,OCH5,HUT2,Div 11
